Timestamp,,Information technologies like computer has significant impact on student's academic performance,Classroom teaching methodology has significant impact on student's academic performance.,Library helps to build up student capabilities to achieve highest marks.,Modern teaching aids has positive impact on student academic achievements.,Online education has worst impact on student's learning capabilities.,Online education has worst impact on student's learning capabilities.,Is there any relationship exist between guidance and counselling and students academic achievements?,Guidance and counselling have positive effect on students learning achievements?,Guidance helps to build confidence.,"Before choosing subject mastery, is there any need for guidance or counselling?",Teachers play a role of counselor to help their students to achieve their goals.,Gender,Education,Age,
2022/04/02 9:54:33 am GMT-5,,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Female,Higher education,35 or above,
2022/04/02 9:55:19 am GMT-5,,Neutral,Strongly agree,Neutral,Strongly Disagree,Neutral,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Neutral,Disagree,Female,Masters,18-25,
2022/04/02 9:57:29 am GMT-5,,Neutral,Strongly agree,Agree,Strongly Disagree,Agree,Neutral,Disagree,Strongly agree,Strongly Disagree,Strongly agree,Neutral,Male,Bachelors,18-25,
2022/04/02 9:59:43 am GMT-5,,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Female,Masters,26-35,
2022/04/02 5:01:07 pm GMT-5,,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Female,Bachelors,18-25,
2022/04/03 4:36:27 pm GMT-5,,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Male,Bachelors,18-25,
2022/04/16 1:30:13 pm GMT-5,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female,Masters,18-25,
2022/04/25 6:21:46 pm GMT-5,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Female,Masters,18-25,
2022/04/25 6:24:28 pm GMT-5,,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Male,Masters,18-25,
2022/04/27 4:16:58 pm GMT-5,,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Male,Masters,35 or above,
2022/04/27 4:54:11 pm GMT-5,,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Female,Masters,18-25,
2022/04/27 4:55:06 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Male,Masters,26-35,
2022/04/27 4:59:11 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Female,Masters,18-25,
2022/04/27 5:29:59 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Male,Masters,18-25,
2022/04/27 5:30:32 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Female,Masters,18-25,
2022/04/27 5:31:16 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Female,Masters,18-25,
2022/04/27 5:31:54 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Female,Masters,18-25,
2022/04/27 5:32:28 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Male,Masters,18-25,
2022/04/27 5:33:00 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Male,Masters,18-25,
2022/04/27 5:33:43 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Male,Masters,18-25,
2022/04/27 5:34:21 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Male,Masters,18-25,
2022/04/27 6:48:44 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Male,Masters,18-25,
2022/04/27 6:49:08 pm GMT-5,,Neutral,Agree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Strongly agree,Disagree,Agree,Female,Higher education,18-25,
2022/04/27 6:50:24 pm GMT-5,,Disagree,Strongly agree,Strongly agree,Neutral,Strongly Disagree,Neutral,Strongly agree,Disagree,Strongly Disagree,Strongly agree,Neutral,Male,Masters,35 or above,
2022/04/27 6:52:22 pm GMT-5,,Strongly Disagree,Disagree,Strongly agree,Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly agree,Disagree,Disagree,Male,Masters,26-35,
2022/04/27 6:53:09 pm GMT-5,,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Strongly agree,Disagree,Male,Bachelors,35 or above,
2022/04/27 6:53:30 pm GMT-5,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Female,Masters,35 or above,Option 1
2022/04/27 6:54:18 pm GMT-5,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Female,Bachelors,18-25,Option 1
2022/04/27 6:54:37 pm GMT-5,,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Female,Higher education,26-35,
2022/04/27 6:55:14 pm GMT-5,,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Agree,Disagree,Neutral,Neutral,Female,Higher education,18-25,
2022/04/27 6:55:16 pm GMT-5,,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Female,Bachelors,26-35,Option 1
2022/04/27 6:55:48 pm GMT-5,,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Female,Bachelors,35 or above,Option 1
2022/04/27 6:58:12 pm GMT-5,,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Neutral,Disagree,Strongly agree,Strongly agree,Disagree,Female,Masters,18-25,Option 1
2022/04/27 6:58:31 pm GMT-5,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Female,Masters,18-25,Option 1
2022/04/27 6:58:51 pm GMT-5,,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Female,Higher education,18-25,Option 1
2022/04/27 6:59:14 pm GMT-5,,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Strongly Disagree,Disagree,Neutral,Disagree,Male,Masters,26-35,
2022/04/27 6:59:15 pm GMT-5,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Female,Higher education,18-25,
2022/04/27 6:59:31 pm GMT-5,,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Female,Bachelors,26-35,Option 1
2022/04/27 7:00:09 pm GMT-5,,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Female,Bachelors,26-35,Option 1
2022/04/27 7:00:46 pm GMT-5,,Strongly agree,Neutral,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Neutral,Strongly agree,Strongly Disagree,Strongly agree,Female,Bachelors,26-35,Option 1
2022/04/27 7:01:29 pm GMT-5,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Male,Higher education,26-35,
